ID,category,Case_w,Case_wo,NoCNV_Control_w,NoCNV_Control_wo,LargeRare_Control_w,LargeRare_Control_wo,NEJM_Control_w,NEJM_Control_wo
46170,node,1,216,98,87697,7,4099,2,2208
46180,node,0,217,30,87765,1,4105,0,2210
46190,node,0,217,169,87626,6,4100,4,2206
46200,node,1,216,51,87744,7,4099,6,2204
46210,node,0,217,16,87779,1,4105,1,2209
46220,node,0,217,11,87784,3,4103,0,2210
46230,node,2,215,163,87632,8,4098,3,2207
46250,node,0,217,9,87786,0,4106,1,2209
46260,node,0,217,5,87790,0,4106,0,2210
46270,node,0,217,162,87633,4,4102,6,2204
46280,node,0,217,2,87793,0,4106,0,2210
46290,node,0,217,47,87748,4,4102,1,2209
46300,node,0,217,7,87788,0,4106,2,2208
46310,node,3,214,212,87583,12,4094,7,2203
46330,node,0,217,4,87791,0,4106,1,2209
46340,node,1,216,2,87793,0,4106,0,2210
46360,node,1,216,90,87705,4,4102,3,2207
46380,node,0,217,1,87794,0,4106,0,2210
46390,node,0,217,1,87794,0,4106,0,2210
46400,node,1,216,21,87774,0,4106,0,2210
46410,node,0,217,10,87785,0,4106,0,2210
46420,node,3,214,556,87239,33,4073,14,2196
46440,node,4,213,789,87006,40,4066,34,2176
46450,node,2,215,345,87450,25,4081,14,2196
46460,node,3,214,215,87580,11,4095,10,2200
46470,node,9,208,2438,85357,129,3977,66,2144
46490,node,0,217,211,87584,9,4097,5,2205
46500,node,1,216,3,87792,0,4106,0,2210
46510,node,1,216,3,87792,0,4106,0,2210
46520,node,29,188,8055,79740,403,3703,262,1948
46530,node,0,217,86,87709,4,4102,3,2207
46540,node,3,214,680,87115,31,4075,16,2194
46550,node,0,217,5,87790,0,4106,0,2210
46560,node,1,216,71,87724,2,4104,1,2209
46590,node,0,217,3,87792,0,4106,0,2210
46650,node,0,217,2,87793,0,4106,0,2210
46660,node,0,217,1,87794,0,4106,0,2210
46670,node,0,217,1,87794,0,4106,0,2210
46680,node,0,217,7,87788,0,4106,1,2209
46760,node,0,217,2,87793,0,4106,0,2210
46780,node,0,217,7,87788,0,4106,0,2210
