"type","id","control","case_n","control_n","cc_est","cc_err","cc_p","sex_est","sex_err","sex_p"
"node","X50580","NoCNV_Control",217,87795,-0.593766431050326,0.41349852460922,0.151014350168996,-0.219246617245667,0.0317303424657763,4.85736891660593e-12
"node","X21060","NoCNV_Control",217,87795,0.570795251187029,0.341254173984094,0.0943982627130993,-0.205639902868892,0.0447801366857532,4.38571485944482e-06
"node","X123180","NoCNV_Control",217,87795,0.0622218173896782,0.277104587367474,0.822335030748571,-0.466650436879603,0.0293381409995096,5.76403247736729e-57
"node","X37040","NoCNV_Control",217,87795,-0.145546093435934,0.324102326362546,0.653377907580585,-0.0655790270567959,0.0302794040274404,0.0303267414512037
"node","X34010","NoCNV_Control",217,87795,-0.171637850320691,0.414974406540733,0.679159243618768,-0.653540436209293,0.0407688442422946,7.83903868602569e-58
"node","X7000","NoCNV_Control",217,87795,-10.7466245230974,729.047336585765,0.988239096633784,0.304624204439215,0.556389782985486,0.584034285077399
"node","X42460","NoCNV_Control",217,87795,0.344003659454272,1.00408291700325,0.731895766174507,0.24850258269092,0.118180811805659,0.0354891972762384
"node","X14290","NoCNV_Control",217,87795,0.296625966043705,0.414809050378543,0.474553191073829,0.301813616123643,0.0474692460910001,2.04281218083733e-10
"node","X65620","NoCNV_Control",217,87795,-0.0757635544716809,0.414517821124493,0.854974452224415,-0.152482793159535,0.0401003027347702,0.000143223190760826
"node","X19910","NoCNV_Control",217,87795,-11.5248508386042,441.829782205995,0.979190044977971,0.385606757964545,0.229594066680684,0.0930516509241407
"node","X49590","NoCNV_Control",217,87795,-0.00743904779542623,0.711417854423669,0.991656952124871,0.481253885321232,0.0712691015209655,1.45188695878961e-11
"node","X8920","NoCNV_Control",217,87795,0.489544339716955,0.711834215014856,0.491627606850224,-0.181631800221962,0.0909237019026813,0.0457569248401016
"node","X78720","NoCNV_Control",217,87795,-11.7484772609721,442.763354595238,0.978831064846229,-0.0587276044972568,0.205352392445335,0.774889981190761
"node","X55690","NoCNV_Control",217,87795,0.651110495468074,0.582746778941518,0.263860560315375,0.0821954791890322,0.0793876848290401,0.300497021060572
"node","X41140","NoCNV_Control",217,87795,1.06150667939344,0.361685348414262,0.0033366604818355,0.358395721579113,0.0595466563615358,1.75782150003135e-09
"node","X3730","NoCNV_Control",217,87795,-15.0078555219554,22206.1043161383,0.999460754793832,-15.8008597689638,1764.5192897507,0.992855224853157
"node","X45540","NoCNV_Control",217,87795,0.928552059048838,0.287403346858975,0.00123430271059936,0.513939732967193,0.04412145330356,2.34093811607771e-31
"node","X123500","NoCNV_Control",217,87795,-11.4867981711858,442.585538710937,0.97929414932663,-0.176932427798757,0.235711119130408,0.452873853283853
"node","X50150","NoCNV_Control",217,87795,-1.03419868267208,1.00174928432904,0.301888174282092,1.21074480139586,0.0683573069779455,3.38800531410839e-70
"node","X45820","NoCNV_Control",217,87795,0.574409042218663,1.00459781881801,0.567470960048859,0.406078109138363,0.133408518481594,0.00233556495738059
"node","X19320","NoCNV_Control",217,87795,0.886761279640271,0.712527099426305,0.213304602050105,0.204572919532704,0.109196122754737,0.0610069743995858
"node","X14990","NoCNV_Control",217,87795,0.174984766730138,1.00580361911073,0.861885045555464,-17.6466165425725,238.889477081445,0.941114323873037
"node","X50290","NoCNV_Control",217,87795,0.450811409429013,0.194341351556396,0.0203577312878869,-0.0503446633347529,0.0229770566058319,0.028445707297303
"node","X18520","NoCNV_Control",217,87795,-0.0232543194807869,0.505624912458111,0.963317227604898,0.550628919458027,0.0505325013647313,1.19736875982498e-27
"node","X51240","NoCNV_Control",217,87795,0.504285936187338,0.268516623365038,0.0603751956522956,0.423233645424711,0.033503183962928,1.39518434899619e-36
"node","X49700","NoCNV_Control",217,87795,-0.39586858843515,0.414575388564222,0.339639798346497,-0.401005831163374,0.0353742803663275,8.69483209354035e-30
"node","X37350","NoCNV_Control",217,87795,-11.8512768581115,266.607052456101,0.964543932704555,0.715078787865495,0.121886363451164,4.44376787745182e-09
"node","X46030","NoCNV_Control",217,87795,0.0931970215102137,0.71143139275976,0.895775853301256,0.362597988361165,0.0742799243852876,1.05278059591271e-06
"node","X41010","NoCNV_Control",217,87795,0.415060678177412,1.0045481471577,0.679473664641709,0.818108134064715,0.129168896800499,2.39457750857956e-10
"node","X14840","NoCNV_Control",217,87795,-0.278659805847764,0.509100054482597,0.584133049277394,-4.25018681650616,0.193626237655995,8.57118076750923e-107
"node","X15220","NoCNV_Control",217,87795,0.254114292584741,0.421571517715931,0.546655979614197,7.05462358470847,0.707334012739041,1.99008004974366e-23
"node","X132160","NoCNV_Control",217,87795,-11.787685897583,442.494156319604,0.978747515253193,-0.213777782046848,0.203433686139261,0.293328632384955
"node","X44290","NoCNV_Control",217,87795,-0.16249830413496,0.414728266203708,0.695192152047799,-0.464520991605198,0.0397548565594591,1.52734120416014e-31
"node","X42480","NoCNV_Control",217,87795,0.43391386432093,0.583244625603888,0.456897362949058,0.908835197097369,0.0764324769907544,1.32302608304267e-32
"node","X123050","NoCNV_Control",217,87795,-0.154030611426532,0.414464734678154,0.71016281218083,0.0924521638764462,0.0382750117773317,0.0157148931100163
"node","X103950","NoCNV_Control",217,87795,0.0491460567599291,0.508857320796498,0.923058977412078,-3.14921275876434,0.135120593736918,3.79288063575663e-120
"node","X46170","NoCNV_Control",217,87795,1.42022160867519,1.00748323708987,0.158636351237846,0.456214357968651,0.203446899872157,0.0249339354744847
