test,trait,control,case n,control n,case mean,control mean,statistic,p
one tailed t test - less,SNV_burden,NoCNV_Control,93,44002,37.72043010752688,41.64394800236353,-2.8301026267788636,0.0023277052246578373
one tailed t test - less,SNV_burden,LargeRare_Control,93,2046,37.72043010752688,40.101661779081134,-2.0989363306427107,0.0179697875125941
one tailed t test - less,SNV_burden,NEJM_Control,93,1121,37.72043010752688,38.87065120428189,-1.2704571774616833,0.10208282353790395
one tailed t test - less,Genes_del,NoCNV_Control,227,95627,0.3392070484581498,1.1757348865906072,-5.723529855903026,5.232162299382938e-09
one tailed t test - less,Genes_del,LargeRare_Control,227,4460,0.3392070484581498,1.0809417040358744,-1.4976136505874766,0.06715051277158487
one tailed t test - less,Genes_del,NEJM_Control,227,2406,0.3392070484581498,0.5627597672485453,-1.2483760990136992,0.10600221736663896
one tailed t test - less,Genes_dup,NoCNV_Control,227,95627,1.0881057268722467,2.479498468005898,-4.561590289127026,2.541520662078394e-06
one tailed t test - less,Genes_dup,LargeRare_Control,227,4460,1.0881057268722467,1.1560538116591927,-0.19756556402629089,0.4216967752267792
one tailed t test - less,Genes_dup,NEJM_Control,227,2406,1.0881057268722467,0.9451371571072319,0.5220476568897633,0.6991594516005337
