test,control,case_proportion,control_proportion,proportion_difference,statistic,p
one tailed binomial test - less,.,0.4669603524229075,0.5,-0.03303964757709249,,0.17640204937268603
one tailed Z test - less,NoCNV_Control,0.4669603524229075,0.46669873571271714,0.000261616710190371,0.007891487977429631,0.503148215533283
one tailed Z test - less,LargeRare_Control,0.4669603524229075,0.4468609865470852,0.020099365875822284,0.5940484065728604,0.7237601314233227
one tailed Z test - less,NEJM_Control,0.4669603524229075,0.470906068162926,-0.003945715740018507,-0.11385311671778353,0.4546771156260219
