timeline,KM_estimate,KM_estimate_lower_0.95,KM_estimate_upper_0.95
0.0,1.0,1.0,1.0
17921.0,0.9955947136563877,0.9691435076742929,0.999378279446939
19716.0,0.9955947136563877,0.9691435076742929,0.999378279446939
19992.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20022.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20113.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20144.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20266.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20419.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20447.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20509.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20539.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20600.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20784.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20812.0,0.9955947136563877,0.9691435076742929,0.999378279446939
20826.0,0.9908762552978263,0.9639823810664144,0.9977124506278136
20843.0,0.9908762552978263,0.9639823810664144,0.9977124506278136
20904.0,0.9908762552978263,0.9639823810664144,0.9977124506278136
20908.0,0.9861124271473558,0.9575317104683276,0.9955033734841835
20996.0,0.9861124271473558,0.9575317104683276,0.9955033734841835
21027.0,0.9861124271473558,0.9575317104683276,0.9955033734841835
21057.0,0.9861124271473558,0.9575317104683276,0.9955033734841835
21118.0,0.9861124271473558,0.9575317104683276,0.9955033734841835
21130.0,0.9812306824585072,0.9507263696246643,0.992920048007849
21208.0,0.9812306824585072,0.9507263696246643,0.992920048007849
21239.0,0.9763245290462149,0.9440141610919102,0.9900850289957976
21255.0,0.9714183756339224,0.9374457310681508,0.9870668286255507
21330.0,0.9714183756339224,0.9374457310681508,0.9870668286255507
21422.0,0.9714183756339224,0.9374457310681508,0.9870668286255507
21485.0,0.9664367429383639,0.9308402945420263,0.983868922273108
21543.0,0.9664367429383639,0.9308402945420263,0.983868922273108
21605.0,0.9664367429383639,0.9308402945420263,0.983868922273108
21696.0,0.9664367429383639,0.9308402945420263,0.983868922273108
21715.0,0.961323321018055,0.924089913642838,0.9804849146192804
21727.0,0.961323321018055,0.924089913642838,0.9804849146192804
21908.0,0.961323321018055,0.924089913642838,0.9804849146192804
21939.0,0.961323321018055,0.924089913642838,0.9804849146192804
21970.0,0.961323321018055,0.924089913642838,0.9804849146192804
22031.0,0.961323321018055,0.924089913642838,0.9804849146192804
22184.0,0.961323321018055,0.924089913642838,0.9804849146192804
22226.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22273.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22396.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22488.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22610.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22638.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22700.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22791.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
22883.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
23004.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
23066.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
23096.0,0.9560413247487255,0.9171354252191644,0.9769081173256513
23125.0,0.9503506025776026,0.9095239985583881,0.9730249542059551
23127.0,0.9503506025776026,0.9095239985583881,0.9730249542059551
23141.0,0.9446255989476163,0.9020176345226563,0.969020294067567
23249.0,0.9446255989476163,0.9020176345226563,0.969020294067567
23341.0,0.9446255989476163,0.9020176345226563,0.969020294067567
23369.0,0.9446255989476163,0.9020176345226563,0.969020294067567
23522.0,0.9446255989476163,0.9020176345226563,0.969020294067567
23605.0,0.9386469559163019,0.8941851035026384,0.9647906586998521
23734.0,0.9386469559163019,0.8941851035026384,0.9647906586998521
23796.0,0.9386469559163019,0.8941851035026384,0.9647906586998521
23806.0,0.9325518458129487,0.8862905641041067,0.9604083706546929
23918.0,0.9325518458129487,0.8862905641041067,0.9604083706546929
23949.0,0.9325518458129487,0.8862905641041067,0.9604083706546929
24010.0,0.9325518458129487,0.8862905641041067,0.9604083706546929
24041.0,0.9262931085927273,0.8782424527356293,0.95585268549577
24130.0,0.9262931085927273,0.8782424527356293,0.95585268549577
24161.0,0.9262931085927273,0.8782424527356293,0.95585268549577
24186.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24191.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24222.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24283.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24314.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24375.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24557.0,0.9199486352462016,0.8701774198115287,0.9511685539307092
24563.0,0.9132823407878956,0.8616785270427082,0.9462288117530584
24588.0,0.9132823407878956,0.8616785270427082,0.9462288117530584
24710.0,0.9132823407878956,0.8616785270427082,0.9462288117530584
24771.0,0.9132823407878956,0.8616785270427082,0.9462288117530584
24861.0,0.9132823407878956,0.8616785270427082,0.9462288117530584
24879.0,0.9063107198658508,0.8527884504302103,0.9410395486700627
24892.0,0.9063107198658508,0.8527884504302103,0.9410395486700627
